station_id,observed_at,temp,dewpoint,humidity,wind_speed,wind_gust,wind_dir,pressure,precip_rate,precip_accum,uv,solar
KNJBERKE13,2026-08-02T02:32:38.658083+00:00,23.89,22.33,91.0,8.78,10.51,188.0,30.0,0.0,0.0,,
KNJWARET3,2026-08-02T02:32:39.429560+00:00,24.28,22.89,92.0,12.25,13.03,159.0,29.99,0.0,0.0,,0.0
KNJMANAH111,2026-08-02T02:32:40.178458+00:00,24.61,22.72,89.0,4.26,6.95,0.0,29.93,0.0,0.0,,
KNJMANAH7,2026-08-02T02:32:40.721854+00:00,,,,,,,,,,,
KNJBAYHE18,2026-08-02T02:32:41.092344+00:00,24.0,22.61,92.0,5.65,8.95,184.0,29.99,0.0,0.0,,
KNJLONGB89,2026-08-02T02:32:41.645323+00:00,24.39,22.83,91.0,8.52,11.47,174.0,29.99,0.0,0.0,,
KNJLONGB21,2026-08-02T02:32:42.229188+00:00,,,0.0,5.65,8.52,199.0,30.0,0.0,0.0,,
KNJBEACH64,2026-08-02T02:32:42.666381+00:00,24.61,22.11,86.0,1.74,7.82,190.0,29.95,0.0,0.0,0.0,0.0
KNJOCEAN178,2026-08-02T02:32:43.081615+00:00,24.89,23.72,93.0,1.74,6.95,182.0,29.96,0.0,0.0,,
KNJSEASI44,2026-08-02T02:32:43.470605+00:00,24.22,23.0,93.0,10.51,14.77,175.0,29.99,0.0,0.0,,
Ecocenter,2026-08-02T02:32:43.901430+00:00,,,,,,,,,,,
KNJBERKE13,2026-08-03T00:34:56.570358+00:00,24.72,22.94,90.0,12.08,15.12,163.0,29.87,0.0,0.0,,
KNJWARET3,2026-08-03T00:34:57.319356+00:00,25.61,24.22,92.0,10.51,16.51,181.0,29.87,0.0,0.0,,0.0
KNJMANAH111,2026-08-03T00:34:57.808354+00:00,26.11,24.0,88.0,5.21,13.03,115.0,29.81,0.0,0.0,,
KNJMANAH7,2026-08-03T00:34:58.224841+00:00,,,,,,,,,,,
KNJBAYHE18,2026-08-03T00:34:58.695661+00:00,24.78,23.0,90.0,2.35,3.91,150.0,29.87,0.0,0.0,,
KNJLONGB89,2026-08-03T00:34:59.152222+00:00,25.28,23.89,92.0,7.39,11.12,165.0,29.86,0.0,0.0,,
