timestamp,station_id,station_name,status,consecutive_offline,event_type,message
2026-07-13T16:34:25.020323-04:00,KNJBERKE13,Island Beach State Park Bathhouse #1,CONNECTED,0,check,ok
2026-07-13T16:34:26.135074-04:00,KNJWARET3,Sedge Island,CONNECTED,0,check,ok
2026-07-13T16:34:26.720042-04:00,KNJMANAH111,Stafford Municipal Complex,OFFLINE,1,check,ok
2026-07-13T16:34:27.387898-04:00,KNJMANAH7,MATES/Stafford,OFFLINE,1,check,ok
2026-07-13T16:34:28.248506-04:00,KNJBAYHE18,Bayhead Fire Company #1,CONNECTED,0,check,ok
2026-07-13T16:34:28.749079-04:00,KNJLONGB89,LBT Marine Field Station,CONNECTED,0,check,ok
2026-07-13T16:34:29.227214-04:00,KNJLONGB21,LBI Foundation,CONNECTED,0,check,ok
2026-07-13T16:34:29.760743-04:00,KNJBEACH64,Beachwood Yacht Club,CONNECTED,0,check,ok
2026-07-13T16:34:30.221406-04:00,KNJOCEAN178,Ocean Gate Yacht Club,CONNECTED,0,check,ok
2026-07-13T16:34:30.732150-04:00,KNJSEASI44,Seaside Park Yacht Club,CONNECTED,0,check,ok
2026-07-13T16:34:31.466579-04:00,Ecocenter,Ecocenter,OFFLINE,1,check,ok
2026-07-13T16:41:24.558413-04:00,KNJBERKE13,Island Beach State Park Bathhouse #1,CONNECTED,0,check,ok
2026-07-13T16:41:25.471976-04:00,KNJWARET3,Sedge Island,CONNECTED,0,check,ok
2026-07-13T16:41:26.226852-04:00,KNJMANAH111,Stafford Municipal Complex,OFFLINE,2,check,ok
2026-07-13T16:41:27.143017-04:00,KNJMANAH7,MATES/Stafford,OFFLINE,2,check,ok
2026-07-13T16:41:27.652564-04:00,KNJBAYHE18,Bayhead Fire Company #1,CONNECTED,0,check,ok
2026-07-13T16:41:28.388131-04:00,KNJLONGB89,LBT Marine Field Station,CONNECTED,0,check,ok
2026-07-13T16:41:28.952422-04:00,KNJLONGB21,LBI Foundation,CONNECTED,0,check,ok
2026-07-13T16:41:29.717416-04:00,KNJBEACH64,Beachwood Yacht Club,CONNECTED,0,check,ok
2026-07-13T16:41:30.412330-04:00,KNJOCEAN178,Ocean Gate Yacht Club,CONNECTED,0,check,ok
2026-07-13T16:41:31.229146-04:00,KNJSEASI44,Seaside Park Yacht Club,CONNECTED,0,check,ok
2026-07-13T16:41:32.080882-04:00,Ecocenter,Ecocenter,OFFLINE,2,check,ok
2026-07-13T16:46:53.893336-04:00,KNJBERKE13,Island Beach State Park Bathhouse #1,CONNECTED,0,check,ok
2026-07-13T16:46:54.634077-04:00,KNJWARET3,Sedge Island,CONNECTED,0,check,ok
2026-07-13T16:46:55.098024-04:00,KNJMANAH111,Stafford Municipal Complex,OFFLINE,3,offline_alert,"Threshold Reached, email sent"
2026-07-13T16:46:56.902031-04:00,KNJMANAH7,MATES/Stafford,OFFLINE,3,offline_alert,"Threshold Reached, email sent"
2026-07-13T16:46:58.666441-04:00,KNJBAYHE18,Bayhead Fire Company #1,CONNECTED,0,check,ok
2026-07-13T16:46:59.456228-04:00,KNJLONGB89,LBT Marine Field Station,CONNECTED,0,check,ok
2026-07-13T16:46:59.955283-04:00,KNJLONGB21,LBI Foundation,CONNECTED,0,check,ok
2026-07-13T16:47:00.534164-04:00,KNJBEACH64,Beachwood Yacht Club,CONNECTED,0,check,ok
2026-07-13T16:47:01.017577-04:00,KNJOCEAN178,Ocean Gate Yacht Club,CONNECTED,0,check,ok
2026-07-13T16:47:01.868998-04:00,KNJSEASI44,Seaside Park Yacht Club,CONNECTED,0,check,ok
2026-07-13T16:47:02.395721-04:00,Ecocenter,Ecocenter,OFFLINE,3,offline_alert,"Threshold Reached, email sent"
2026-07-13T21:31:37.951125+00:00,KNJBERKE13,Island Beach State Park Bathhouse #1,CONNECTED,0,check,ok
2026-07-13T21:31:38.550501+00:00,KNJWARET3,Sedge Island,CONNECTED,0,check,ok
2026-07-13T21:31:42.068227+00:00,KNJBAYHE18,Bayhead Fire Company #1,CONNECTED,0,check,ok
2026-07-13T21:31:42.626309+00:00,KNJLONGB89,LBT Marine Field Station,CONNECTED,0,check,ok
2026-07-13T21:31:43.354256+00:00,KNJLONGB21,LBI Foundation,CONNECTED,0,check,ok
2026-07-13T21:31:43.896160+00:00,KNJBEACH64,Beachwood Yacht Club,CONNECTED,0,check,ok
2026-07-13T21:31:44.411721+00:00,KNJOCEAN178,Ocean Gate Yacht Club,CONNECTED,0,check,ok
2026-07-13T21:31:44.895571+00:00,KNJSEASI44,Seaside Park Yacht Club,CONNECTED,0,check,ok
2026-07-13T21:32:31.176125+00:00,KNJBERKE13,Island Beach State Park Bathhouse #1,CONNECTED,0,check,ok
2026-07-13T21:32:31.765529+00:00,KNJWARET3,Sedge Island,CONNECTED,0,check,ok
2026-07-13T21:32:32.407674+00:00,KNJMANAH111,Stafford Municipal Complex,OFFLINE,5,check,ok
2026-07-13T21:32:33.019475+00:00,KNJMANAH7,MATES/Stafford,OFFLINE,5,check,ok
2026-07-13T21:32:33.438250+00:00,KNJBAYHE18,Bayhead Fire Company #1,CONNECTED,0,check,ok
2026-07-13T21:32:34.160166+00:00,KNJLONGB89,LBT Marine Field Station,CONNECTED,0,check,ok
2026-07-13T21:32:34.702871+00:00,KNJLONGB21,LBI Foundation,CONNECTED,0,check,ok
2026-07-13T21:32:35.216515+00:00,KNJBEACH64,Beachwood Yacht Club,CONNECTED,0,check,ok
2026-07-13T21:32:35.797347+00:00,KNJOCEAN178,Ocean Gate Yacht Club,CONNECTED,0,check,ok
2026-07-13T21:32:36.461155+00:00,KNJSEASI44,Seaside Park Yacht Club,CONNECTED,0,check,ok
2026-07-13T21:32:37.040822+00:00,Ecocenter,Ecocenter,OFFLINE,5,check,ok
2026-07-13T21:35:10.514641+00:00,KNJBERKE13,Island Beach State Park Bathhouse #1,CONNECTED,0,check,ok
2026-07-13T21:35:11.359128+00:00,KNJWARET3,Sedge Island,CONNECTED,0,check,ok
2026-07-13T21:35:11.943217+00:00,KNJMANAH111,Stafford Municipal Complex,OFFLINE,6,check,ok
2026-07-13T21:35:12.409709+00:00,KNJMANAH7,MATES/Stafford,OFFLINE,6,check,ok
2026-07-13T21:35:12.815067+00:00,KNJBAYHE18,Bayhead Fire Company #1,CONNECTED,0,check,ok
2026-07-13T21:35:13.556036+00:00,KNJLONGB89,LBT Marine Field Station,CONNECTED,0,check,ok
2026-07-13T21:35:14.039067+00:00,KNJLONGB21,LBI Foundation,CONNECTED,0,check,ok
2026-07-13T21:35:14.595697+00:00,KNJBEACH64,Beachwood Yacht Club,CONNECTED,0,check,ok
